Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
G:\RoboND\IMG\robocam_2018_07_23_18_58_52_678.jpg;0;1;0;2.286329;102.098;88.1337;1.318228;46.75951;-0.001230827
G:\RoboND\IMG\robocam_2018_07_23_18_58_52_745.jpg;0;1;0;2.330266;102.1949;88.23589;1.321562;46.74739;-0.001255168
G:\RoboND\IMG\robocam_2018_07_23_18_58_52_813.jpg;0;1;0;2.388232;102.2936;88.33999;1.328344;46.73616;-0.001283994
G:\RoboND\IMG\robocam_2018_07_23_18_58_52_878.jpg;0;1;0;2.431858;102.428;88.48158;1.327545;46.72072;-0.001277802
G:\RoboND\IMG\robocam_2018_07_23_18_58_52_943.jpg;0;1;0;2.47502;102.531;88.58999;1.331051;46.70899;-0.001295684
G:\RoboND\IMG\robocam_2018_07_23_18_58_53_013.jpg;0;1;0;2.532355;102.6357;88.70029;1.336598;46.69753;-0.001317678
G:\RoboND\IMG\robocam_2018_07_23_18_58_53_080.jpg;0;1;0;2.575219;102.7782;88.85021;1.344738;46.68257;-0.001358194
G:\RoboND\IMG\robocam_2018_07_23_18_58_53_146.jpg;0;1;0;2.617481;102.887;88.96466;1.339944;46.67084;-0.00133524
G:\RoboND\IMG\robocam_2018_07_23_18_58_53_217.jpg;0;1;0;2.675461;103.0351;89.12029;1.347093;46.6534;-0.001353659
G:\RoboND\IMG\robocam_2018_07_23_18_58_53_277.jpg;0;1;0;2.717072;103.1482;89.23913;1.353406;46.64076;-0.001401327
G:\RoboND\IMG\robocam_2018_07_23_18_58_53_342.jpg;0;1;0;2.759353;103.2631;89.35975;1.357437;46.62912;-0.001429511
G:\RoboND\IMG\robocam_2018_07_23_18_58_53_413.jpg;0;1;0;2.815531;103.3797;89.48215;1.358817;46.61771;-0.001438693
G:\RoboND\IMG\robocam_2018_07_23_18_58_53_480.jpg;0;1;0;2.857488;103.5379;89.64809;1.357246;46.60216;-0.001423747
